CourseNumber,Dept,YearTerm,Title,ACP,CS,HUM,NAT,QR,SBS
AAS,100,2019-fa,Intro Asian American Studies,,US,,,,SS
AAS,105,2019-fa,Introduction to Arab American Studies,,US,,,,
AAS,120,2019-fa,Intro to Asian Am Pop Culture,,US,,,,
AAS,200,2019-fa,U.S. Race and Empire,,US,HP,,,
AAS,201,2019-fa,US Racial & Ethnic Politics,,US,,,,SS
AAS,211,2019-fa,Asian Americans and the Arts,,US,LA,,,
AAS,215,2019-fa,US Citizenship Comparatively,,US,HP,,,
AAS,224,2019-fa,Asian Am Historical Sociology,,US,,,,
AAS,246,2019-fa,Asian American Youth in Film,,US,,,,SS
AAS,258,2019-fa,Muslims in America,,US,,,,SS
AAS,260,2019-fa,Intro Asian American Theatre,,US,,,,
AAS,265,2019-fa,Politics of Hip Hop,,US,,,,
AAS,275,2019-fa,The Politics of Fashion,,US,,,,
AAS,281,2019-fa,Constructing Race in America,,US,HP,,,
AAS,283,2019-fa,Asian American History,,US,HP,,,
AAS,286,2019-fa,Asian American Literature,,US,LA,,,
AAS,287,2019-fa,Food and Asian Americans,,US,,,,SS
AAS,288,2019-fa,Global Islam and Feminisms,,NW,,,,
AAS,297,2019-fa,Asian Families in America,,US,,,,SS
AAS,300,2019-fa,"Theories of Race, Gender, and Sexuality",ACP,,,,,
AAS,310,2019-fa,Race and Cultural Diversity,ACP,US,,,,
AAS,370,2019-fa,"Immigration, Law, and Rights",ACP,,,,,
AAS,402,2019-fa,Asian American Education,ACP,US,,,,
ABE,469,2019-fa,Industry-Linked Design Project,ACP,,,,,
ACE,100,2019-fa,Agr Cons and Resource Econ,,,,,,SS
ACE,210,2019-fa,Environmental Economics,,,,,,SS
ACE,251,2019-fa,The World Food Economy,,NW,,,,SS
ACE,254,2019-fa,Economic Systems in Africa,,NW,,,,SS
ACE,255,2019-fa,Economics of Food and Environmental Justice,,US,,,,SS
ACE,261,2019-fa,Applied Statistical Methods,,,,,QR1,
ACES,102,2019-fa,Intro Sustainable Food Systems,,,,LS,,
ACES,179,2019-fa,History of Ag in IL Since 1860,,US,HP,,,
ADV,476,2019-fa,Global Advertising,,WCC,,,,SS
AE,443,2019-fa,Aerospace Systems Design II,ACP,,,,,
AFAS,120,2019-fa,Intro to US Armed Forces,,,HP,,,
AFRO,100,2019-fa,Intro to African American St,,US,,,,SS
AFRO,101,2019-fa,"Black America, 1619-Present",,US,HP,,,
AFRO,103,2019-fa,Black Women in the Diaspora,,US,,,,
AFRO,105,2019-fa,Black Literature in America,,US,LA,,,
AFRO,106,2019-fa,Hist Arch Americas,,US,HP,,,
AFRO,132,2019-fa,African American Music,,US,LA,,,
AFRO,201,2019-fa,US Racial & Ethnic Politics,,US,,,,SS
AFRO,211,2019-fa,Intro to African-American Film,,US,,,,
AFRO,212,2019-fa,Intro African American Theat,,US,,,,
AFRO,215,2019-fa,US Citizenship Comparatively,,US,HP,,,
AFRO,221,2019-fa,History of the Prison,,WCC,HP,,,
AFRO,224,2019-fa,Humanist Persp of Afro-Am Exp,,US,LA,,,
AFRO,228,2019-fa,Hip Hop Music: History and Culture,,US,LA,,,
AFRO,231,2019-fa,Lang Diff Dis: American Persp,,US,,,,
AFRO,243,2019-fa,Pan Africanism,,NW,,,,SS
AFRO,250,2019-fa,Introduction to Health and Wellness in the Black Community,,US,,,,SS
AFRO,259,2019-fa,Early African American Literature and Culture,,US,,,,
