SectionID,ProfessorID,Professors,CourseNumber,Dept,YearTerm,AvgGPA
0,0,"Boonsripaisal, S;Espiritu, A",100,AAS,2020-sp,3.76
1,0,"Boonsripaisal, S;Espiritu, A",100,AAS,2020-sp,3.76
2,1,"Espiritu, A;Uhall, M",100,AAS,2020-sp,
3,1,"Espiritu, A;Uhall, M",100,AAS,2020-sp,
4,1,"Espiritu, A;Kang, Y",100,AAS,2020-sp,3.64
5,1,"Espiritu, A;Kang, Y",100,AAS,2020-sp,3.64
6,1,"Espiritu, A;Park, D",100,AAS,2020-sp,
7,1,"Espiritu, A;Park, D",100,AAS,2020-sp,
8,1,"Espiritu, A",100,AAS,2020-sp,
9,-1,,201,AAS,2020-sp,
10,-1,,201,AAS,2020-sp,
11,5,"Compoc, K",215,AAS,2020-sp,
12,6,"Rana, J",258,AAS,2020-sp,3.57
13,7,"Bright, L",260,AAS,2020-sp,
14,8,"Coyoca, W",265,AAS,2020-sp,
15,-1,,281,AAS,2020-sp,
16,-1,,281,AAS,2020-sp,
17,-1,,281,AAS,2020-sp,
18,9,"Burgos, A",281,AAS,2020-sp,
19,10,"Balgopal, A",297,AAS,2020-sp,
20,11,"Desai, R",300,AAS,2020-sp,
21,-1,,310,AAS,2020-sp,
22,12,"Anderson, J",310,AAS,2020-sp,
23,-1,,310,AAS,2020-sp,
24,12,"Anderson, J",310,AAS,2020-sp,
25,13,"Dowling, J",355,AAS,2020-sp,
26,8,"Coyoca, W",357,AAS,2020-sp,
27,14,"Cacho, L",465,AAS,2020-sp,
28,14,"Cacho, L",465,AAS,2020-sp,
29,15,"Lira, N",479,AAS,2020-sp,
30,15,"Lira, N",479,AAS,2020-sp,
31,6,"Rana, J",561,AAS,2020-sp,
32,16,"Ruiz, S",590,AAS,2020-sp,
33,17,"Bhalerao, K",141,ABE,2020-sp,
34,17,"Bhalerao, K",141,ABE,2020-sp,
35,-1,,199,ABE,2020-sp,
36,18,"Boone, A",199,ABE,2020-sp,
37,19,"Zhang, Y",225,ABE,2020-sp,3.29
38,19,"Zhang, Y",225,ABE,2020-sp,3.29
39,19,"Zhang, Y",225,ABE,2020-sp,3.29
40,20,"Singh, V",226,ABE,2020-sp,3.11
41,20,"Singh, V",226,ABE,2020-sp,3.11
42,20,"Singh, V",226,ABE,2020-sp,3.11
43,-1,,397,ABE,2020-sp,
44,21,"Grift, T",425,ABE,2020-sp,3.97
45,21,"Grift, T",425,ABE,2020-sp,3.97
46,21,"Grift, T",425,ABE,2020-sp,3.97
47,22,"Lipka, A",440,ABE,2020-sp,
48,22,"Lipka, A",440,ABE,2020-sp,
49,22,"Lipka, A",440,ABE,2020-sp,
50,22,"Lipka, A",440,ABE,2020-sp,
51,17,"Bhalerao, K",446,ABE,2020-sp,
52,17,"Bhalerao, K",446,ABE,2020-sp,
53,17,"Bhalerao, K",446,ABE,2020-sp,
54,17,"Bhalerao, K",446,ABE,2020-sp,
55,23,"Bhattarai, R",456,ABE,2020-sp,
56,-1,,456,ABE,2020-sp,
57,23,"Bhattarai, R",456,ABE,2020-sp,
58,-1,,456,ABE,2020-sp,
59,24,"Cooke, R",457,ABE,2020-sp,
60,25,"Chu, M",458,ABE,2020-sp,
61,26,"Witmer, A",469,ABE,2020-sp,3.83
62,26,"Witmer, A",469,ABE,2020-sp,3.83
63,27,"Green-Miller, A",474,ABE,2020-sp,
64,-1,,497,ABE,2020-sp,
65,-1,,498,ABE,2020-sp,
66,26,"Witmer, A",498,ABE,2020-sp,
67,26,"Witmer, A",498,ABE,2020-sp,
68,28,"Harbourt, C",498,ABE,2020-sp,
69,29,"Barnard, J;Blumthal, M;Rodriguez, L",498,ABE,2020-sp,
70,29,"Barnard, J;Blumthal, M;Rodriguez, L",498,ABE,2020-sp,
71,32,"Wang, X",498,ABE,2020-sp,
72,19,"Zhang, Y",594,ABE,2020-sp,
73,-1,,597,ABE,2020-sp,
74,33,"Axelrod, A;Chowdhary, G",598,ABE,2020-sp,
75,-1,,599,ABE,2020-sp,
76,35,"Takhar, P",599,ABE,2020-sp,
77,-1,,199,ACCY,2020-sp,
78,-1,,199,ACCY,2020-sp,
79,-1,,199,ACCY,2020-sp,
80,-1,,199,ACCY,2020-sp,
81,-1,,199,ACCY,2020-sp,
82,-1,,200,ACCY,2020-sp,
83,-1,,200,ACCY,2020-sp,
84,-1,,201,ACCY,2020-sp,
85,-1,,201,ACCY,2020-sp,
86,-1,,201,ACCY,2020-sp,
87,-1,,201,ACCY,2020-sp,
88,-1,,201,ACCY,2020-sp,
89,-1,,201,ACCY,2020-sp,
90,-1,,201,ACCY,2020-sp,
91,-1,,201,ACCY,2020-sp,
92,-1,,201,ACCY,2020-sp,
93,-1,,201,ACCY,2020-sp,
94,-1,,201,ACCY,2020-sp,
95,-1,,201,ACCY,2020-sp,
96,-1,,201,ACCY,2020-sp,
97,-1,,201,ACCY,2020-sp,
98,-1,,201,ACCY,2020-sp,
99,-1,,202,ACCY,2020-sp,
100,-1,,202,ACCY,2020-sp,
101,-1,,202,ACCY,2020-sp,
102,-1,,202,ACCY,2020-sp,
103,-1,,202,ACCY,2020-sp,
104,-1,,202,ACCY,2020-sp,
105,-1,,202,ACCY,2020-sp,
106,-1,,202,ACCY,2020-sp,
107,-1,,202,ACCY,2020-sp,
108,-1,,202,ACCY,2020-sp,
109,-1,,202,ACCY,2020-sp,
110,-1,,202,ACCY,2020-sp,
111,-1,,202,ACCY,2020-sp,
112,-1,,202,ACCY,2020-sp,
113,-1,,202,ACCY,2020-sp,
114,-1,,202,ACCY,2020-sp,
115,-1,,202,ACCY,2020-sp,
116,-1,,202,ACCY,2020-sp,
117,-1,,202,ACCY,2020-sp,
118,-1,,290,ACCY,2020-sp,
119,-1,,301,ACCY,2020-sp,
120,-1,,301,ACCY,2020-sp,
121,-1,,301,ACCY,2020-sp,
122,-1,,301,ACCY,2020-sp,
123,-1,,301,ACCY,2020-sp,
124,-1,,301,ACCY,2020-sp,
125,-1,,302,ACCY,2020-sp,
126,-1,,302,ACCY,2020-sp,
127,-1,,302,ACCY,2020-sp,
128,-1,,302,ACCY,2020-sp,
129,-1,,302,ACCY,2020-sp,
130,-1,,302,ACCY,2020-sp,
131,-1,,302,ACCY,2020-sp,
132,-1,,303,ACCY,2020-sp,
133,-1,,303,ACCY,2020-sp,
134,-1,,303,ACCY,2020-sp,
135,-1,,303,ACCY,2020-sp,
136,-1,,303,ACCY,2020-sp,
137,-1,,303,ACCY,2020-sp,
138,-1,,304,ACCY,2020-sp,
139,-1,,304,ACCY,2020-sp,
140,-1,,304,ACCY,2020-sp,
141,-1,,304,ACCY,2020-sp,
142,-1,,304,ACCY,2020-sp,
143,-1,,304,ACCY,2020-sp,
144,-1,,312,ACCY,2020-sp,
145,-1,,312,ACCY,2020-sp,
146,-1,,312,ACCY,2020-sp,
147,-1,,312,ACCY,2020-sp,
148,-1,,312,ACCY,2020-sp,
149,-1,,312,ACCY,2020-sp,
150,-1,,312,ACCY,2020-sp,
151,-1,,398,ACCY,2020-sp,
152,-1,,398,ACCY,2020-sp,
153,-1,,398,ACCY,2020-sp,
154,-1,,398,ACCY,2020-sp,
155,-1,,398,ACCY,2020-sp,
156,-1,,405,ACCY,2020-sp,
157,-1,,405,ACCY,2020-sp,
158,-1,,405,ACCY,2020-sp,
159,-1,,405,ACCY,2020-sp,
160,-1,,410,ACCY,2020-sp,
161,-1,,410,ACCY,2020-sp,
162,-1,,410,ACCY,2020-sp,
163,-1,,410,ACCY,2020-sp,
164,-1,,410,ACCY,2020-sp,
165,-1,,410,ACCY,2020-sp,
166,-1,,410,ACCY,2020-sp,
167,-1,,410,ACCY,2020-sp,
168,-1,,410,ACCY,2020-sp,
169,-1,,410,ACCY,2020-sp,
170,-1,,410,ACCY,2020-sp,
171,-1,,410,ACCY,2020-sp,
172,-1,,410,ACCY,2020-sp,
173,-1,,410,ACCY,2020-sp,
174,-1,,410,ACCY,2020-sp,
175,-1,,410,ACCY,2020-sp,
176,-1,,415,ACCY,2020-sp,
177,-1,,415,ACCY,2020-sp,
